Date,Year,Month,beef_qty,veal_qty,milk_lag_y0m0,milk_lag_y0m1,milk_lag_y0m2,milk_lag_y0m3,milk_lag_y0m4,milk_lag_y0m5,milk_lag_y0m6,milk_lag_y0m7,milk_lag_y0m8,milk_lag_y0m9,milk_lag_y0m10,milk_lag_y0m11,milk_lag_y0m12,milk_lag_y1m1,milk_lag_y1m2,milk_lag_y1m3,milk_lag_y1m4,milk_lag_y1m5,milk_lag_y1m6,milk_lag_y1m7,milk_lag_y1m8,milk_lag_y1m9,milk_lag_y1m10,milk_lag_y1m11,milk_lag_y1m12,milk_lag_y2m1,milk_lag_y2m2,milk_lag_y2m3,milk_lag_y2m4,milk_lag_y2m5,milk_lag_y2m6,milk_lag_y2m7,milk_lag_y2m8,milk_lag_y2m9,milk_lag_y2m10,milk_lag_y2m11,milk_lag_y2m12,milk_lag_y3m1,milk_lag_y3m2,milk_lag_y3m3,milk_lag_y3m4,milk_lag_y3m5,milk_lag_y3m6,milk_lag_y3m7,milk_lag_y3m8,milk_lag_y3m9,milk_lag_y3m10,milk_lag_y3m11,milk_lag_y3m12,milk_lag_y4m1,milk_lag_y4m2,milk_lag_y4m3,milk_lag_y4m4,milk_lag_y4m5,milk_lag_y4m6,milk_lag_y4m7,milk_lag_y4m8,milk_lag_y4m9,milk_lag_y4m10,milk_lag_y4m11,milk_lag_y4m12,milk_lag_y5m1,milk_lag_y5m2,milk_lag_y5m3,milk_lag_y5m4,milk_lag_y5m5,milk_lag_y5m6,milk_lag_y5m7,milk_lag_y5m8,milk_lag_y5m9,milk_lag_y5m10,milk_lag_y5m11,milk_lag_y5m12,milk_lag_y6m1,milk_lag_y6m2,milk_lag_y6m3,milk_lag_y6m4,milk_lag_y6m5,milk_lag_y6m6,milk_lag_y6m7,milk_lag_y6m8,milk_lag_y6m9,milk_lag_y6m10,milk_lag_y6m11,milk_lag_y6m12,milk_lag_y7m1,milk_lag_y7m2,milk_lag_y7m3,milk_lag_y7m4,milk_lag_y7m5,milk_lag_y7m6,milk_lag_y7m7,milk_lag_y7m8,milk_lag_y7m9,milk_lag_y7m10,milk_lag_y7m11,milk_lag_y7m12
1/1/1978,1978,1,2078,62,9958,9797,9380,9824,9810,10362,10671,10968,11358,10732,10580,9285,9888,9686,9210,9603,9590,10117,10435,10786,11107,10475,10285,9289,9597,9357,8832,9162,9050,9544,9975,10445,10787,10116,9999,8773,9358,9109,8663,9100,9137,9711,10171,10615,10869,10124,9989,8763,9335,9063,8603,8957,8885,9496,10021,10542,10960,10303,10184,8945,9532,9380,8925,9438,9442,9989,10455,10962,11280,10572,10455,9399,9728,9429,9006,9446,9332,9863,10288,10820,11161,10425,10223,8996,9576,9321,8837,9278,9203,9734,10212,10708,11053,10295,10103,8857,9405
2/1/1978,1978,2,1954,56,9242,9958,9797,9380,9824,9810,10362,10671,10968,11358,10732,10580,9285,9888,9686,9210,9603,9590,10117,10435,10786,11107,10475,10285,9289,9597,9357,8832,9162,9050,9544,9975,10445,10787,10116,9999,8773,9358,9109,8663,9100,9137,9711,10171,10615,10869,10124,9989,8763,9335,9063,8603,8957,8885,9496,10021,10542,10960,10303,10184,8945,9532,9380,8925,9438,9442,9989,10455,10962,11280,10572,10455,9399,9728,9429,9006,9446,9332,9863,10288,10820,11161,10425,10223,8996,9576,9321,8837,9278,9203,9734,10212,10708,11053,10295,10103,8857
3/1/1978,1978,3,2074,60,10491,9242,9958,9797,9380,9824,9810,10362,10671,10968,11358,10732,10580,9285,9888,9686,9210,9603,9590,10117,10435,10786,11107,10475,10285,9289,9597,9357,8832,9162,9050,9544,9975,10445,10787,10116,9999,8773,9358,9109,8663,9100,9137,9711,10171,10615,10869,10124,9989,8763,9335,9063,8603,8957,8885,9496,10021,10542,10960,10303,10184,8945,9532,9380,8925,9438,9442,9989,10455,10962,11280,10572,10455,9399,9728,9429,9006,9446,9332,9863,10288,10820,11161,10425,10223,8996,9576,9321,8837,9278,9203,9734,10212,10708,11053,10295,10103
4/1/1978,1978,4,1910,50,10610,10491,9242,9958,9797,9380,9824,9810,10362,10671,10968,11358,10732,10580,9285,9888,9686,9210,9603,9590,10117,10435,10786,11107,10475,10285,9289,9597,9357,8832,9162,9050,9544,9975,10445,10787,10116,9999,8773,9358,9109,8663,9100,9137,9711,10171,10615,10869,10124,9989,8763,9335,9063,8603,8957,8885,9496,10021,10542,10960,10303,10184,8945,9532,9380,8925,9438,9442,9989,10455,10962,11280,10572,10455,9399,9728,9429,9006,9446,9332,9863,10288,10820,11161,10425,10223,8996,9576,9321,8837,9278,9203,9734,10212,10708,11053,10295
5/1/1978,1978,5,2066,52,11151,10610,10491,9242,9958,9797,9380,9824,9810,10362,10671,10968,11358,10732,10580,9285,9888,9686,9210,9603,9590,10117,10435,10786,11107,10475,10285,9289,9597,9357,8832,9162,9050,9544,9975,10445,10787,10116,9999,8773,9358,9109,8663,9100,9137,9711,10171,10615,10869,10124,9989,8763,9335,9063,8603,8957,8885,9496,10021,10542,10960,10303,10184,8945,9532,9380,8925,9438,9442,9989,10455,10962,11280,10572,10455,9399,9728,9429,9006,9446,9332,9863,10288,10820,11161,10425,10223,8996,9576,9321,8837,9278,9203,9734,10212,10708,11053
6/1/1978,1978,6,1962,47,10817,11151,10610,10491,9242,9958,9797,9380,9824,9810,10362,10671,10968,11358,10732,10580,9285,9888,9686,9210,9603,9590,10117,10435,10786,11107,10475,10285,9289,9597,9357,8832,9162,9050,9544,9975,10445,10787,10116,9999,8773,9358,9109,8663,9100,9137,9711,10171,10615,10869,10124,9989,8763,9335,9063,8603,8957,8885,9496,10021,10542,10960,10303,10184,8945,9532,9380,8925,9438,9442,9989,10455,10962,11280,10572,10455,9399,9728,9429,9006,9446,9332,9863,10288,10820,11161,10425,10223,8996,9576,9321,8837,9278,9203,9734,10212,10708
7/1/1978,1978,7,1852,44,10503,10817,11151,10610,10491,9242,9958,9797,9380,9824,9810,10362,10671,10968,11358,10732,10580,9285,9888,9686,9210,9603,9590,10117,10435,10786,11107,10475,10285,9289,9597,9357,8832,9162,9050,9544,9975,10445,10787,10116,9999,8773,9358,9109,8663,9100,9137,9711,10171,10615,10869,10124,9989,8763,9335,9063,8603,8957,8885,9496,10021,10542,10960,10303,10184,8945,9532,9380,8925,9438,9442,9989,10455,10962,11280,10572,10455,9399,9728,9429,9006,9446,9332,9863,10288,10820,11161,10425,10223,8996,9576,9321,8837,9278,9203,9734,10212
8/1/1978,1978,8,2097,50,10182,10503,10817,11151,10610,10491,9242,9958,9797,9380,9824,9810,10362,10671,10968,11358,10732,10580,9285,9888,9686,9210,9603,9590,10117,10435,10786,11107,10475,10285,9289,9597,9357,8832,9162,9050,9544,9975,10445,10787,10116,9999,8773,9358,9109,8663,9100,9137,9711,10171,10615,10869,10124,9989,8763,9335,9063,8603,8957,8885,9496,10021,10542,10960,10303,10184,8945,9532,9380,8925,9438,9442,9989,10455,10962,11280,10572,10455,9399,9728,9429,9006,9446,9332,9863,10288,10820,11161,10425,10223,8996,9576,9321,8837,9278,9203,9734
9/1/1978,1978,9,1974,45,9683,10182,10503,10817,11151,10610,10491,9242,9958,9797,9380,9824,9810,10362,10671,10968,11358,10732,10580,9285,9888,9686,9210,9603,9590,10117,10435,10786,11107,10475,10285,9289,9597,9357,8832,9162,9050,9544,9975,10445,10787,10116,9999,8773,9358,9109,8663,9100,9137,9711,10171,10615,10869,10124,9989,8763,9335,9063,8603,8957,8885,9496,10021,10542,10960,10303,10184,8945,9532,9380,8925,9438,9442,9989,10455,10962,11280,10572,10455,9399,9728,9429,9006,9446,9332,9863,10288,10820,11161,10425,10223,8996,9576,9321,8837,9278,9203
10/1/1978,1978,10,2103,48,9780,9683,10182,10503,10817,11151,10610,10491,9242,9958,9797,9380,9824,9810,10362,10671,10968,11358,10732,10580,9285,9888,9686,9210,9603,9590,10117,10435,10786,11107,10475,10285,9289,9597,9357,8832,9162,9050,9544,9975,10445,10787,10116,9999,8773,9358,9109,8663,9100,9137,9711,10171,10615,10869,10124,9989,8763,9335,9063,8603,8957,8885,9496,10021,10542,10960,10303,10184,8945,9532,9380,8925,9438,9442,9989,10455,10962,11280,10572,10455,9399,9728,9429,9006,9446,9332,9863,10288,10820,11161,10425,10223,8996,9576,9321,8837,9278
