year,mmm,month-num,mmm-yyyy,beef-produce,veal-produce,milk-lag-y-1,milk-lag-y-2,milk-lag-y-3,milk-lag-y-4,milk-lag-y-5,milk-lag-y-6,milk-lag-y-7
2002,Jan,1,Jan-2002,2331,17,14003,14242,13618,13275,13106,13068,13170
2002,Feb,2,Feb-2002,1987,14,12867,13582,12593,12188,12104,12411,12126
2002,Mar,3,Mar-2002,2059,15,14380,14752,14250,13692,13649,13509,13622
2002,Apr,4,Apr-2002,2195,16,14077,14380,13919,13485,13379,13211,13330
2002,May,5,May-2002,2336,16,14649,14774,14453,13992,13870,13561,13868
2002,Jun,6,Jun-2002,2302,15,13959,13989,13625,13276,13325,12815,13267
2002,Jul,7,Jul-2002,2427,17,13849,14086,13430,13159,13265,12773,13141
2002,Aug,8,Aug-2002,2469,17,13537,13766,13348,12932,13000,12594,12751
2002,Sep,9,Sep-2002,2201,16,13122,13210,12954,12395,12362,12197,12316
2002,Oct,10,Oct-2002,2512,19,13598,13691,13410,12921,12768,12684,12674
2002,Nov,11,Nov-2002,2164,17,13303,13172,13140,12602,12325,12288,12232
2002,Dec,12,Dec-2002,2107,18,13988,13749,13849,13345,12938,12895,12795
2003,Jan,1,Jan-2003,2291,18,14321,14003,14242,13618,13275,13106,13068
2003,Feb,2,Feb-2003,1942,16,13259,12867,13582,12593,12188,12104,12411
2003,Mar,3,Mar-2003,2048,17,14905,14380,14752,14250,13692,13649,13509
2003,Apr,4,Apr-2003,2151,16,14620,14077,14380,13919,13485,13379,13211
2003,May,5,May-2003,2360,16,15144,14649,14774,14453,13992,13870,13561
2003,Jun,6,Jun-2003,2391,15,14325,13959,13989,13625,13276,13325,12815
2003,Jul,7,Jul-2003,2439,15,14225,13849,14086,13430,13159,13265,12773
2003,Aug,8,Aug-2003,2328,14,14145,13537,13766,13348,12932,13000,12594
2003,Sep,9,Sep-2003,2314,15,13476,13122,13210,12954,12395,12362,12197
2003,Oct,10,Oct-2003,2212,16,13897,13598,13691,13410,12921,12768,12684
2003,Nov,11,Nov-2003,1783,15,13499,13303,13172,13140,12602,12325,12288
2003,Dec,12,Dec-2003,1978,19,14247,13988,13749,13849,13345,12938,12895
2004,Jan,1,Jan-2004,1926,16,14599,14321,14003,14242,13618,13275,13106
2004,Feb,2,Feb-2004,1804,15,13448,13259,12867,13582,12593,12188,12104
2004,Mar,3,Mar-2004,2108,14,15044,14905,14380,14752,14250,13692,13649
2004,Apr,4,Apr-2004,1956,14,14641,14620,14077,14380,13919,13485,13379
2004,May,5,May-2004,2070,14,15011,15144,14649,14774,14453,13992,13870
2004,Jun,6,Jun-2004,2227,13,14337,14325,13959,13989,13625,13276,13325
2004,Jul,7,Jul-2004,2104,13,14257,14225,13849,14086,13430,13159,13265
2004,Aug,8,Aug-2004,2151,14,14017,14145,13537,13766,13348,12932,13000
2004,Sep,9,Sep-2004,2105,13,13466,13476,13122,13210,12954,12395,12362
2004,Oct,10,Oct-2004,2114,12,13891,13897,13598,13691,13410,12921,12768
2004,Nov,11,Nov-2004,1941,14,13464,13499,13303,13172,13140,12602,12325
2004,Dec,12,Dec-2004,2042,15,14173,14247,13988,13749,13849,13345,12938
2005,Jan,1,Jan-2005,1916,13,14394,14599,14321,14003,14242,13618,13275
2005,Feb,2,Feb-2005,1767,12,13605,13448,13259,12867,13582,12593,12188
2005,Mar,3,Mar-2005,2042,13,14763,15044,14905,14380,14752,14250,13692
2005,Apr,4,Apr-2005,1888,13,14532,14641,14620,14077,14380,13919,13485
2005,May,5,May-2005,2074,13,15029,15011,15144,14649,14774,14453,13992
2005,Jun,6,Jun-2005,2227,13,14278,14337,14325,13959,13989,13625,13276
2005,Jul,7,Jul-2005,2083,12,14396,14257,14225,13849,14086,13430,13159
2005,Aug,8,Aug-2005,2319,14,14206,14017,14145,13537,13766,13348,12932
2005,Sep,9,Sep-2005,2158,13,13610,13466,13476,13122,13210,12954,12395
2005,Oct,10,Oct-2005,2081,13,14081,13891,13897,13598,13691,13410,12921
2005,Nov,11,Nov-2005,2071,12,13622,13464,13499,13303,13172,13140,12602
2005,Dec,12,Dec-2005,2057,14,14316,14173,14247,13988,13749,13849,13345
2006,Jan,1,Jan-2006,2051,12,14606,14394,14599,14321,14003,14242,13618
2006,Feb,2,Feb-2006,1827,11,13523,13605,13448,13259,12867,13582,12593
2006,Mar,3,Mar-2006,2204,13,15197,14763,15044,14905,14380,14752,14250
2006,Apr,4,Apr-2006,1969,10,15046,14532,14641,14620,14077,14380,13919
2006,May,5,May-2006,2309,13,15696,15029,15011,15144,14649,14774,14453
2006,Jun,6,Jun-2006,2446,12,15083,14278,14337,14325,13959,13989,13625
2006,Jul,7,Jul-2006,2214,11,14977,14396,14257,14225,13849,14086,13430
2006,Aug,8,Aug-2006,2450,13,14891,14206,14017,14145,13537,13766,13348
2006,Sep,9,Sep-2006,2170,12,14253,13610,13466,13476,13122,13210,12954
2006,Oct,10,Oct-2006,2236,13,14609,14081,13891,13897,13598,13691,13410
2006,Nov,11,Nov-2006,2227,13,14199,13622,13464,13499,13303,13172,13140
2006,Dec,12,Dec-2006,2050,13,14851,14316,14173,14247,13988,13749,13849
2007,Jan,1,Jan-2007,2166,14,15348,14606,14394,14599,14321,14003,14242
2007,Feb,2,Feb-2007,1953,12,14248,13523,13605,13448,13259,12867,13582
2007,Mar,3,Mar-2007,2118,14,15967,15197,14763,15044,14905,14380,14752
2007,Apr,4,Apr-2007,2015,12,15535,15046,14532,14641,14620,14077,14380
2007,May,5,May-2007,2285,12,16061,15696,15029,15011,15144,14649,14774
2007,Jun,6,Jun-2007,2349,11,15329,15083,14278,14337,14325,13959,13989
2007,Jul,7,Jul-2007,2257,11,15156,14977,14396,14257,14225,13849,14086
2007,Aug,8,Aug-2007,2451,10,15046,14891,14206,14017,14145,13537,13766
2007,Sep,9,Sep-2007,2095,9,14473,14253,13610,13466,13476,13122,13210
2007,Oct,10,Oct-2007,2443,11,14839,14609,14081,13891,13897,13598,13691
2007,Nov,11,Nov-2007,2229,10,14507,14199,13622,13464,13499,13303,13172
2007,Dec,12,Dec-2007,2061,10,15273,14851,14316,14173,14247,13988,13749
2008,Jan,1,Jan-2008,2233,11,15607,15348,14606,14394,14599,14321,14003
2008,Feb,2,Feb-2008,2039,11,14323,14248,13523,13605,13448,13259,12867
2008,Mar,3,Mar-2008,2101,11,16133,15967,15197,14763,15044,14905,14380
2008,Apr,4,Apr-2008,2255,12,15765,15535,15046,14532,14641,14620,14077
2008,May,5,May-2008,2380,12,16194,16061,15696,15029,15011,15144,14649
2008,Jun,6,Jun-2008,2263,12,15479,15329,15083,14278,14337,14325,13959
2008,Jul,7,Jul-2008,2372,12,15715,15156,14977,14396,14257,14225,13849
2008,Aug,8,Aug-2008,2267,11,15525,15046,14891,14206,14017,14145,13537
2008,Sep,9,Sep-2008,2270,13,14871,14473,14253,13610,13466,13476,13122
2008,Oct,10,Oct-2008,2341,14,15391,14839,14609,14081,13891,13897,13598
2008,Nov,11,Nov-2008,1959,11,15016,14507,14199,13622,13464,13499,13303
2008,Dec,12,Dec-2008,2082,13,15635,15273,14851,14316,14173,14247,13988
2009,Jan,1,Jan-2009,2118,12,15980,15607,15348,14606,14394,14599,14321
2009,Feb,2,Feb-2009,1986,11,15180,14323,14248,13523,13605,13448,13259
2009,Mar,3,Mar-2009,2144,12,16462,16133,15967,15197,14763,15044,14905
2009,Apr,4,Apr-2009,2133,11,16118,15765,15535,15046,14532,14641,14620
2009,May,5,May-2009,2179,10,16703,16194,16061,15696,15029,15011,15144
2009,Jun,6,Jun-2009,2289,12,15940,15479,15329,15083,14278,14337,14325
