year,mmm,month-num,date,beef-produce,veal-produce,milk-lag-m-0,milk-lag-m-1,milk-lag-m-2,milk-lag-m-3,milk-lag-m-4,milk-lag-m-5,milk-lag-m-6,milk-lag-m-7,milk-lag-m-8,milk-lag-m-9,milk-lag-m-10,milk-lag-m-11,milk-lag-m-12
1996,Jan,1,1-Jan-96,2220,30,13068,12795,12232,12674,12316,12751,13141,13267,13868,13330,13622,12126,13170
1996,Feb,2,1-Feb-96,2048,30,12411,13068,12795,12232,12674,12316,12751,13141,13267,13868,13330,13622,12126
1996,Mar,3,1-Mar-96,2035,30,13509,12411,13068,12795,12232,12674,12316,12751,13141,13267,13868,13330,13622
1996,Apr,4,1-Apr-96,2154,28,13211,13509,12411,13068,12795,12232,12674,12316,12751,13141,13267,13868,13330
1996,May,5,1-May-96,2302,30,13561,13211,13509,12411,13068,12795,12232,12674,12316,12751,13141,13267,13868
1996,Jun,6,1-Jun-96,2186,29,12815,13561,13211,13509,12411,13068,12795,12232,12674,12316,12751,13141,13267
1996,Jul,7,1-Jul-96,2194,32,12773,12815,13561,13211,13509,12411,13068,12795,12232,12674,12316,12751,13141
1996,Aug,8,1-Aug-96,2262,32,12594,12773,12815,13561,13211,13509,12411,13068,12795,12232,12674,12316,12751
1996,Sep,9,1-Sep-96,1934,31,12197,12594,12773,12815,13561,13211,13509,12411,13068,12795,12232,12674,12316
1996,Oct,10,1-Oct-96,2179,34,12684,12197,12594,12773,12815,13561,13211,13509,12411,13068,12795,12232,12674
1996,Nov,11,1-Nov-96,1955,30,12288,12684,12197,12594,12773,12815,13561,13211,13509,12411,13068,12795,12232
1996,Dec,12,1-Dec-96,1950,31,12895,12288,12684,12197,12594,12773,12815,13561,13211,13509,12411,13068,12795
1997,Jan,1,1-Jan-97,2222,31,13106,12895,12288,12684,12197,12594,12773,12815,13561,13211,13509,12411,13068
1997,Feb,2,1-Feb-97,1919,27,12104,13106,12895,12288,12684,12197,12594,12773,12815,13561,13211,13509,12411
1997,Mar,3,1-Mar-97,1966,28,13649,12104,13106,12895,12288,12684,12197,12594,12773,12815,13561,13211,13509
1997,Apr,4,1-Apr-97,2095,28,13379,13649,12104,13106,12895,12288,12684,12197,12594,12773,12815,13561,13211
1997,May,5,1-May-97,2189,26,13870,13379,13649,12104,13106,12895,12288,12684,12197,12594,12773,12815,13561
1997,Jun,6,1-Jun-97,2132,26,13325,13870,13379,13649,12104,13106,12895,12288,12684,12197,12594,12773,12815
1997,Jul,7,1-Jul-97,2256,27,13265,13325,13870,13379,13649,12104,13106,12895,12288,12684,12197,12594,12773
1997,Aug,8,1-Aug-97,2221,25,13000,13265,13325,13870,13379,13649,12104,13106,12895,12288,12684,12197,12594
1997,Sep,9,1-Sep-97,2126,28,12362,13000,13265,13325,13870,13379,13649,12104,13106,12895,12288,12684,12197
1997,Oct,10,1-Oct-97,2300,28,12768,12362,13000,13265,13325,13870,13379,13649,12104,13106,12895,12288,12684
1997,Nov,11,1-Nov-97,1934,24,12325,12768,12362,13000,13265,13325,13870,13379,13649,12104,13106,12895,12288
