year,mmm,month-num,date,beef-produce,veal-produce,milk-lag-y-0,milk-lag-y-1,milk-lag-y-2,milk-lag-y-3,milk-lag-y-4,milk-lag-y-5,milk-lag-y-6,milk-lag-y-7
1977,Dec,12,12/1/1977,25279,833,122654,120180,115398,115586,115491,120025,118566,117007
1978,Dec,12,12/1/1978,24241,631,121461,122654,120180,115398,115586,115491,120025,118566
1979,Dec,12,12/1/1979,21447,435,123350,121461,122654,120180,115398,115586,115491,120025
1980,Dec,12,12/1/1980,21643,400,128406,123350,121461,122654,120180,115398,115586,115491
1981,Dec,12,12/1/1981,22389,435,132770,128406,123350,121461,122654,120180,115398,115586
1982,Dec,12,12/1/1982,22536,448,135505,132770,128406,123350,121461,122654,120180,115398
1983,Dec,12,12/1/1983,23243,453,139588,135505,132770,128406,123350,121461,122654,120180
1984,Dec,12,12/1/1984,23598,495,135351,139588,135505,132770,128406,123350,121461,122654
1985,Dec,12,12/1/1985,23728,515,143012,135351,139588,135505,132770,128406,123350,121461
1986,Dec,12,12/1/1986,24371,524,143124,143012,135351,139588,135505,132770,128406,123350
1987,Dec,12,12/1/1987,23566,430,142709,143124,143012,135351,139588,135505,132770,128406
1988,Dec,12,12/1/1988,23589,396,145034,142709,143124,143012,135351,139588,135505,132770
1989,Dec,12,12/1/1989,23087,355,143893,145034,142709,143124,143012,135351,139588,135505
1990,Dec,12,12/1/1990,22743,327,147721,143893,145034,142709,143124,143012,135351,139588
1991,Dec,12,12/1/1991,22917,306,147697,147721,143893,145034,142709,143124,143012,135351
1992,Dec,12,12/1/1992,23086,310,150885,147697,147721,143893,145034,142709,143124,143012
1993,Dec,12,12/1/1993,23050,285,150636,150885,147697,147721,143893,145034,142709,143124
1994,Dec,12,12/1/1994,24386,293,153602,150636,150885,147697,147721,143893,145034,142709
1995,Dec,12,12/1/1995,25222,319,155292,153602,150636,150885,147697,147721,143893,145034
1996,Dec,12,12/1/1996,25525,378,154006,155292,153602,150636,150885,147697,147721,143893
1997,Dec,12,12/1/1997,25490,334,156091,154006,155292,153602,150636,150885,147697,147721
1998,Dec,12,12/1/1998,25760,262,157262,156091,154006,155292,153602,150636,150885,147697
1999,Dec,12,12/1/1999,26493,235,162589,157262,156091,154006,155292,153602,150636,150885
2000,Dec,12,12/1/2000,26888,225,167393,162589,157262,156091,154006,155292,153602,150636
2001,Dec,12,12/1/2001,26212,205,165332,167393,162589,157262,156091,154006,155292,153602
2002,Jan,1,1/1/2002,2331,17,14321,14003,14242,13618,13275,13106,13068,13170
2002,Feb,2,2/1/2002,1987,14,13259,12867,13582,12593,12188,12104,12411,12126
2002,Mar,3,3/1/2002,2059,15,14905,14380,14752,14250,13692,13649,13509,13622
2002,Apr,4,4/1/2002,2195,16,14620,14077,14380,13919,13485,13379,13211,13330
2002,May,5,5/1/2002,2336,16,15144,14649,14774,14453,13992,13870,13561,13868
2002,Jun,6,6/1/2002,2302,15,14325,13959,13989,13625,13276,13325,12815,13267
2002,Jul,7,7/1/2002,2427,17,14225,13849,14086,13430,13159,13265,12773,13141
2002,Aug,8,8/1/2002,2469,17,14145,13537,13766,13348,12932,13000,12594,12751
2002,Sep,9,9/1/2002,2201,16,13476,13122,13210,12954,12395,12362,12197,12316
2002,Oct,10,10/1/2002,2512,19,13897,13598,13691,13410,12921,12768,12684,12674
2002,Nov,11,11/1/2002,2164,17,13499,13303,13172,13140,12602,12325,12288,12232
2002,Dec,12,12/1/2002,2107,18,14247,13988,13749,13849,13345,12938,12895,12795
2003,Jan,1,1/1/2003,2291,18,14599,14321,14003,14242,13618,13275,13106,13068
2003,Feb,2,2/1/2003,1942,16,13448,13259,12867,13582,12593,12188,12104,12411
2003,Mar,3,3/1/2003,2048,17,15044,14905,14380,14752,14250,13692,13649,13509
2003,Apr,4,4/1/2003,2151,16,14641,14620,14077,14380,13919,13485,13379,13211
2003,May,5,5/1/2003,2360,16,15011,15144,14649,14774,14453,13992,13870,13561
2003,Jun,6,6/1/2003,2391,15,14337,14325,13959,13989,13625,13276,13325,12815
2003,Jul,7,7/1/2003,2439,15,14257,14225,13849,14086,13430,13159,13265,12773
2003,Aug,8,8/1/2003,2328,14,14017,14145,13537,13766,13348,12932,13000,12594
2003,Sep,9,9/1/2003,2314,15,13466,13476,13122,13210,12954,12395,12362,12197
2003,Oct,10,10/1/2003,2212,16,13891,13897,13598,13691,13410,12921,12768,12684
2003,Nov,11,11/1/2003,1783,15,13464,13499,13303,13172,13140,12602,12325,12288
2003,Dec,12,12/1/2003,1978,19,14173,14247,13988,13749,13849,13345,12938,12895
2004,Jan,1,1/1/2004,1926,16,14394,14599,14321,14003,14242,13618,13275,13106
2004,Feb,2,2/1/2004,1804,15,13605,13448,13259,12867,13582,12593,12188,12104
2004,Mar,3,3/1/2004,2108,14,14763,15044,14905,14380,14752,14250,13692,13649
2004,Apr,4,4/1/2004,1956,14,14532,14641,14620,14077,14380,13919,13485,13379
2004,May,5,5/1/2004,2070,14,15029,15011,15144,14649,14774,14453,13992,13870
2004,Jun,6,6/1/2004,2227,13,14278,14337,14325,13959,13989,13625,13276,13325
2004,Jul,7,7/1/2004,2104,13,14396,14257,14225,13849,14086,13430,13159,13265
2004,Aug,8,8/1/2004,2151,14,14206,14017,14145,13537,13766,13348,12932,13000
2004,Sep,9,9/1/2004,2105,13,13610,13466,13476,13122,13210,12954,12395,12362
2004,Oct,10,10/1/2004,2114,12,14081,13891,13897,13598,13691,13410,12921,12768
2004,Nov,11,11/1/2004,1941,14,13622,13464,13499,13303,13172,13140,12602,12325
2004,Dec,12,12/1/2004,2042,15,14316,14173,14247,13988,13749,13849,13345,12938
2005,Jan,1,1/1/2005,1916,13,14606,14394,14599,14321,14003,14242,13618,13275
2005,Feb,2,2/1/2005,1767,12,13523,13605,13448,13259,12867,13582,12593,12188
2005,Mar,3,3/1/2005,2042,13,15197,14763,15044,14905,14380,14752,14250,13692
2005,Apr,4,4/1/2005,1888,13,15046,14532,14641,14620,14077,14380,13919,13485
2005,May,5,5/1/2005,2074,13,15696,15029,15011,15144,14649,14774,14453,13992
2005,Jun,6,6/1/2005,2227,13,15083,14278,14337,14325,13959,13989,13625,13276
2005,Jul,7,7/1/2005,2083,12,14977,14396,14257,14225,13849,14086,13430,13159
2005,Aug,8,8/1/2005,2319,14,14891,14206,14017,14145,13537,13766,13348,12932
2005,Sep,9,9/1/2005,2158,13,14253,13610,13466,13476,13122,13210,12954,12395
2005,Oct,10,10/1/2005,2081,13,14609,14081,13891,13897,13598,13691,13410,12921
2005,Nov,11,11/1/2005,2071,12,14199,13622,13464,13499,13303,13172,13140,12602
2005,Dec,12,12/1/2005,2057,14,14851,14316,14173,14247,13988,13749,13849,13345
2006,Jan,1,1/1/2006,2051,12,15348,14606,14394,14599,14321,14003,14242,13618
2006,Feb,2,2/1/2006,1827,11,14248,13523,13605,13448,13259,12867,13582,12593
2006,Mar,3,3/1/2006,2204,13,15967,15197,14763,15044,14905,14380,14752,14250
2006,Apr,4,4/1/2006,1969,10,15535,15046,14532,14641,14620,14077,14380,13919
2006,May,5,5/1/2006,2309,13,16061,15696,15029,15011,15144,14649,14774,14453
2006,Jun,6,6/1/2006,2446,12,15329,15083,14278,14337,14325,13959,13989,13625
2006,Jul,7,7/1/2006,2214,11,15156,14977,14396,14257,14225,13849,14086,13430
2006,Aug,8,8/1/2006,2450,13,15046,14891,14206,14017,14145,13537,13766,13348
2006,Sep,9,9/1/2006,2170,12,14473,14253,13610,13466,13476,13122,13210,12954
2006,Oct,10,10/1/2006,2236,13,14839,14609,14081,13891,13897,13598,13691,13410
2006,Nov,11,11/1/2006,2227,13,14507,14199,13622,13464,13499,13303,13172,13140
2006,Dec,12,12/1/2006,2050,13,15273,14851,14316,14173,14247,13988,13749,13849
2007,Jan,1,1/1/2007,2166,14,15607,15348,14606,14394,14599,14321,14003,14242
2007,Feb,2,2/1/2007,1953,12,14323,14248,13523,13605,13448,13259,12867,13582
2007,Mar,3,3/1/2007,2118,14,16133,15967,15197,14763,15044,14905,14380,14752
2007,Apr,4,4/1/2007,2015,12,15765,15535,15046,14532,14641,14620,14077,14380
2007,May,5,5/1/2007,2285,12,16194,16061,15696,15029,15011,15144,14649,14774
2007,Jun,6,6/1/2007,2349,11,15479,15329,15083,14278,14337,14325,13959,13989
2007,Jul,7,7/1/2007,2257,11,15715,15156,14977,14396,14257,14225,13849,14086
2007,Aug,8,8/1/2007,2451,10,15525,15046,14891,14206,14017,14145,13537,13766
2007,Sep,9,9/1/2007,2095,9,14871,14473,14253,13610,13466,13476,13122,13210
2007,Oct,10,10/1/2007,2443,11,15391,14839,14609,14081,13891,13897,13598,13691
2007,Nov,11,11/1/2007,2229,10,15016,14507,14199,13622,13464,13499,13303,13172
2007,Dec,12,12/1/2007,2061,10,15635,15273,14851,14316,14173,14247,13988,13749
2008,Jan,1,1/1/2008,2233,11,15980,15607,15348,14606,14394,14599,14321,14003
2008,Feb,2,2/1/2008,2039,11,15180,14323,14248,13523,13605,13448,13259,12867
2008,Mar,3,3/1/2008,2101,11,16462,16133,15967,15197,14763,15044,14905,14380
2008,Apr,4,4/1/2008,2255,12,16118,15765,15535,15046,14532,14641,14620,14077
2008,May,5,5/1/2008,2380,12,16703,16194,16061,15696,15029,15011,15144,14649
2008,Jun,6,6/1/2008,2263,12,15940,15479,15329,15083,14278,14337,14325,13959
2008,Jul,7,7/1/2008,2372,12,15988,15715,15156,14977,14396,14257,14225,13849
2008,Aug,8,8/1/2008,2267,11,15747,15525,15046,14891,14206,14017,14145,13537
2008,Sep,9,9/1/2008,2270,13,15124,14871,14473,14253,13610,13466,13476,13122
2008,Oct,10,10/1/2008,2341,14,15615,15391,14839,14609,14081,13891,13897,13598
2008,Nov,11,11/1/2008,1959,11,15213,15016,14507,14199,13622,13464,13499,13303
2008,Dec,12,12/1/2008,2082,13,15908,15635,15273,14851,14316,14173,14247,13988
2009,Jan,1,1/1/2009,2118,12,16123,15980,15607,15348,14606,14394,14599,14321
2009,Feb,2,2/1/2009,1986,11,14738,15180,14323,14248,13523,13605,13448,13259
2009,Mar,3,3/1/2009,2144,12,16471,16462,16133,15967,15197,14763,15044,14905
2009,Apr,4,4/1/2009,2133,11,16130,16118,15765,15535,15046,14532,14641,14620
2009,May,5,5/1/2009,2179,10,16792,16703,16194,16061,15696,15029,15011,15144
2009,Jun,6,6/1/2009,2289,12,15928,15940,15479,15329,15083,14278,14337,14325
2009,Jul,7,7/1/2009,2271,11,16011,15988,15715,15156,14977,14396,14257,14225
2009,Aug,8,8/1/2009,2184,11,15732,15747,15525,15046,14891,14206,14017,14145
2009,Sep,9,9/1/2009,2234,12,15039,15124,14871,14473,14253,13610,13466,13476
2009,Oct,10,10/1/2009,2276,12,15415,15615,15391,14839,14609,14081,13891,13897
2009,Nov,11,11/1/2009,2016,12,15060,15213,15016,14507,14199,13622,13464,13499
2009,Dec,12,12/1/2009,2134,13,15763,15908,15635,15273,14851,14316,14173,14247
2010,Jan,1,1/1/2010,2082,12,16013,16123,15980,15607,15348,14606,14394,14599
2010,Feb,2,2/1/2010,1955,11,14750,14738,15180,14323,14248,13523,13605,13448
